"지역","날짜","토마토","딸기"
"광주","02월 23일",3920,9800
"대전","02월 23일",4000,10000
"서울","02월 24일",4180,10450
"부산","02월 24일",4000,10000
"대구","02월 24일",3900,9750
"광주","02월 24일",4120,10300
"대전","02월 24일",4000,10000
"서울","02월 25일",4180,10450
"부산","02월 25일",3700,9250
"대구","02월 25일",3900,9750
"광주","02월 25일",3920,9800
"대전","02월 25일",3930,9825
"서울","02월 28일",4180,10450
"부산","02월 28일",3700,9250
"대구","02월 28일",3900,9750
"광주","02월 28일",3920,9800
"대전","02월 28일",3930,9825
"서울","03월 02일",4180,10450
"부산","03월 02일",3930,9825
"대구","03월 02일",3900,9750
"광주","03월 02일",3920,9800
"대전","03월 02일",3960,9900
"서울","03월 03일",4180,10450
"부산","03월 03일",3930,9825
"대구","03월 03일",3900,9750
"광주","03월 03일",3920,9800
"대전","03월 03일",3960,9900
"서울","03월 04일",4180,10450
"부산","03월 04일",3930,9825
"대구","03월 04일",3900,9750
"광주","03월 04일",3920,9800
"대전","03월 04일",3960,9900
"서울","03월 07일",4040,10100
"부산","03월 07일",3930,9825
"대구","03월 07일",3700,9250
"광주","03월 07일",3920,9800
"대전","03월 07일",3860,9650
"서울","03월 08일",3880,9700
"부산","03월 08일",3000,7500
"대구","03월 08일",3700,9250
"광주","03월 08일",3720,9300
"대전","03월 08일",3700,9250
"서울","03월 10일",3780,9450
"부산","03월 10일",3200,8000
"대구","03월 10일",3700,9250
"광주","03월 10일",3720,9300
"대전","03월 10일",3960,9900
"서울","03월 11일",3780,9450
"부산","03월 11일",3200,8000
"대구","03월 11일",3700,9250
"광주","03월 11일",3720,9300
"대전","03월 11일",3960,9900
"서울","03월 14일",3620,9050
"부산","03월 14일",3200,8000
"대구","03월 14일",3400,8500
"광주","03월 14일",3720,9300
"대전","03월 14일",3860,9650
"서울","03월 15일",3620,9050
"부산","03월 15일",3200,8000
"대구","03월 15일",3400,8500
"광주","03월 15일",3620,9050
"대전","03월 15일",3860,9650
"서울","03월 16일",3620,9050
"부산","03월 16일",3200,8000
"대구","03월 16일",3400,8500
"광주","03월 16일",3620,9050
"대전","03월 16일",3830,9575
"서울","03월 17일",3620,9050
"부산","03월 17일",4000,10000
"대구","03월 17일",3400,8500
"광주","03월 17일",3620,9050
"대전","03월 17일",3830,9575
"서울","03월 18일",3620,9050
"부산","03월 18일",4000,10000
"대구","03월 18일",3400,8500
"광주","03월 18일",3620,9050
"대전","03월 18일",3600,9000
"서울","03월 21일",3540,8850
"부산","03월 21일",4000,10000
"대구","03월 21일",3400,8500
"광주","03월 21일",3620,9050
"대전","03월 21일",3660,9150
"서울","03월 22일",3540,8850
"부산","03월 22일",4000,10000
"대구","03월 22일",3400,8500
"광주","03월 22일",3620,9050
"대전","03월 22일",3660,9150
"서울","03월 23일",3540,8850
"부산","03월 23일",4000,10000
"대구","03월 23일",3400,8500
"광주","03월 23일",3620,9050
"대전","03월 23일",3660,9150
"서울","03월 24일",3540,8850
"부산","03월 24일",4000,10000
"대구","03월 24일",3500,8750
"광주","03월 24일",3620,9050
"대전","03월 24일",3660,9150
"서울","03월 25일",3540,8850
"부산","03월 25일",4000,10000
"대구","03월 25일",3500,8750
"광주","03월 25일",3620,9050
"대전","03월 25일",3660,9150
"서울","03월 28일",3980,9950
"부산","03월 28일",3000,7500
"대구","03월 28일",3500,8750
"광주","03월 28일",3820,9550
"대전","03월 28일",3900,9750
"서울","03월 29일",3980,9950
"부산","03월 29일",3000,7500
"대구","03월 29일",3500,8750
"광주","03월 29일",3820,9550
"대전","03월 29일",3900,9750
"서울","03월 30일",3980,9950
"부산","03월 30일",3060,7650
"대구","03월 30일",3400,8500
"광주","03월 30일",3620,9050
"대전","03월 30일",3660,9150
"서울","03월 31일",3720,9300
"부산","03월 31일",3260,8150
"대구","03월 31일",3200,8000
"광주","03월 31일",3620,9050
"대전","03월 31일",3660,9150
"서울","04월 01일",3980,9950
"부산","04월 01일",3600,9000
"대구","04월 01일",3400,8500
"광주","04월 01일",3850,9625
"대전","04월 01일",3800,9500
"서울","04월 04일",3760,9400
"부산","04월 04일",3520,8800
"대구","04월 04일",3400,8500
"광주","04월 04일",3640,9100
"대전","04월 04일",3800,9500
"서울","04월 05일",3760,9400
"부산","04월 05일",3200,8000
"대구","04월 05일",3400,8500
"광주","04월 05일",3640,9100
"대전","04월 05일",3800,9500
"서울","04월 06일",3760,9400
"부산","04월 06일",3000,7500
"대구","04월 06일",3200,8000
"광주","04월 06일",3440,8600
"대전","04월 06일",3600,9000
"서울","04월 07일",2880,7200
"부산","04월 07일",3000,7500
"대구","04월 07일",3000,7500
"광주","04월 07일",3240,8100
"대전","04월 07일",3320,8300
"서울","04월 08일",2880,7200
"부산","04월 08일",3000,7500
"대구","04월 08일",3000,7500
"광주","04월 08일",3240,8100
"대전","04월 08일",3320,8300
"서울","04월 11일",2960,7400
"부산","04월 11일",3000,7500
"대구","04월 11일",3000,7500
"광주","04월 11일",3240,8100
"대전","04월 11일",3320,8300
"서울","04월 12일",2960,7400
"부산","04월 12일",3000,7500
"대구","04월 12일",3000,7500
"광주","04월 12일",3040,7600
"대전","04월 12일",3120,7800
"서울","04월 13일",2960,7400
"부산","04월 13일",2800,7000
"대구","04월 13일",3000,7500
"광주","04월 13일",3040,7600
"대전","04월 13일",3000,7500
"서울","04월 14일",2320,5800
"부산","04월 14일",2400,6000
"대구","04월 14일",2800,7000
"광주","04월 14일",2640,6600
"대전","04월 14일",2920,7300
"서울","04월 15일",2200,5500
"부산","04월 15일",2400,6000
"대구","04월 15일",2800,7000
"광주","04월 15일",2640,6600
"대전","04월 15일",2920,7300
"서울","04월 18일",2200,5500
"부산","04월 18일",2400,6000
"대구","04월 18일",2800,7000
"광주","04월 18일",2640,6600
"대전","04월 18일",3060,7650
"서울","04월 19일",2200,5500
"부산","04월 19일",2400,6000
"대구","04월 19일",2800,7000
"광주","04월 19일",2640,6600
"대전","04월 19일",3060,7650
"서울","04월 20일",2200,5500
"부산","04월 20일",2400,6000
"대구","04월 20일",2800,7000
"광주","04월 20일",2440,6100
"대전","04월 20일",3060,7650
"서울","04월 21일",2080,5200
"부산","04월 21일",2400,6000
"대구","04월 21일",2800,7000
"광주","04월 21일",2440,6100
"대전","04월 21일",3000,7500
"서울","04월 22일",2080,5200
"부산","04월 22일",2400,6000
"대구","04월 22일",2800,7000
"광주","04월 22일",2440,6100
"대전","04월 22일",3000,7500
"서울","04월 25일",2080,5200
"부산","04월 25일",2400,6000
"대구","04월 25일",2800,7000
"광주","04월 25일",2240,5600
"대전","04월 25일",2460,6150
"서울","04월 26일",1920,4800
"부산","04월 26일",2400,6000
"대구","04월 26일",2800,7000
"광주","04월 26일",2440,6100
"대전","04월 26일",2720,6800
"서울","04월 27일",1920,4800
"부산","04월 27일",2400,6000
"대구","04월 27일",2800,7000
"광주","04월 27일",2440,6100
"대전","04월 27일",2720,6800
"서울","04월 28일",1920,4800
"부산","04월 28일",2400,6000
"대구","04월 28일",2800,7000
"광주","04월 28일",2440,6100
"대전","04월 28일",2660,6650
"서울","04월 29일",2600,6500
"부산","04월 29일",2600,6500
"대구","04월 29일",2800,7000
"광주","04월 29일",2640,6600
"대전","04월 29일",2660,6650
"서울","05월 02일",2640,6600
"부산","05월 02일",2600,6500
"대구","05월 02일",2800,7000
"광주","05월 02일",2640,6600
"대전","05월 02일",2660,6650
"서울","05월 03일",2640,6600
"부산","05월 03일",2600,6500
"대구","05월 03일",2800,7000
"광주","05월 03일",2640,6600
"대전","05월 03일",2660,6650
"서울","05월 04일",2640,6600
"부산","05월 04일",3000,7500
"대구","05월 04일",3000,7500
"광주","05월 04일",2640,6600
"대전","05월 04일",3000,7500
"서울","05월 06일",2640,6600
"부산","05월 06일",3200,8000
"대구","05월 06일",3000,7500
"광주","05월 06일",3040,7600
"대전","05월 06일",3000,7500
"서울","05월 09일",2640,6600
"부산","05월 09일",3200,8000
"대구","05월 09일",3200,8000
"광주","05월 09일",3040,7600
"대전","05월 09일",3000,7500
"서울","05월 10일",2640,6600
"부산","05월 10일",3200,8000
"대구","05월 10일",3400,8500
"광주","05월 10일",3040,7600
"대전","05월 10일",2920,7300
"서울","05월 11일",2640,6600
"부산","05월 11일",2800,7000
"대구","05월 11일",3200,8000
"광주","05월 11일",2840,7100
"대전","05월 11일",2920,7300
"서울","05월 12일",2640,6600
"부산","05월 12일",2800,7000
"대구","05월 12일",3200,8000
"광주","05월 12일",2840,7100
"대전","05월 12일",2920,7300
"서울","05월 13일",2640,6600
"부산","05월 13일",2800,7000
"대구","05월 13일",3000,7500
"광주","05월 13일",2840,7100
"대전","05월 13일",2860,7150
"서울","05월 16일",2640,6600
"부산","05월 16일",2400,6000
"대구","05월 16일",2800,7000
"광주","05월 16일",2640,6600
"대전","05월 16일",2660,6650
"서울","05월 17일",2640,6600
"부산","05월 17일",2400,6000
"대구","05월 17일",2800,7000
"광주","05월 17일",2600,6500
"대전","05월 17일",2660,6650
"서울","05월 18일",2640,6600
"부산","05월 18일",2200,5500
"대구","05월 18일",2800,7000
"광주","05월 18일",2600,6500
"대전","05월 18일",2660,6650
"서울","05월 19일",2320,5800
"부산","05월 19일",2200,5500
"대구","05월 19일",2800,7000
"광주","05월 19일",2440,6100
"대전","05월 19일",2520,6300
"서울","05월 20일",2320,5800
"부산","05월 20일",2200,5500
"대구","05월 20일",2800,7000
"광주","05월 20일",2440,6100
"대전","05월 20일",2520,6300
"서울","05월 23일",2120,5300
"부산","05월 23일",2200,5500
"대구","05월 23일",2800,7000
"광주","05월 23일",2240,5600
"대전","05월 23일",2520,6300
"서울","05월 24일",2120,5300
"부산","05월 24일",2400,6000
"대구","05월 24일",2800,7000
"광주","05월 24일",2440,6100
"대전","05월 24일",2520,6300
"서울","05월 25일",2120,5300
"부산","05월 25일",2400,6000
"대구","05월 25일",2800,7000
"광주","05월 25일",2400,6000
"대전","05월 25일",2520,6300
"서울","05월 26일",1920,4800
"부산","05월 26일",2400,6000
"대구","05월 26일",2800,7000
"광주","05월 26일",2240,5600
"대전","05월 26일",2520,6300
"서울","05월 27일",1920,4800
"부산","05월 27일",2200,5500
"대구","05월 27일",2600,6500
"광주","05월 27일",2440,6100
"대전","05월 27일",2520,6300
"서울","05월 30일",2120,5300
"부산","05월 30일",2200,5500
"대구","05월 30일",2600,6500
"광주","05월 30일",2240,5600
"대전","05월 30일",2520,6300
"서울","05월 31일",2040,5100
"부산","05월 31일",2200,5500
"대구","05월 31일",2600,6500
"광주","05월 31일",2240,5600
"대전","05월 31일",2520,6300
"서울","06월 02일",2040,5100
"부산","06월 02일",2000,5000
"대구","06월 02일",2600,6500
"광주","06월 02일",2440,6100
"대전","06월 02일",2400,6000
"서울","06월 03일",2040,5100
"부산","06월 03일",2000,5000
"대구","06월 03일",2600,6500
"광주","06월 03일",1950,4875
"대전","06월 03일",2400,6000
"서울","06월 07일",2200,5500
"부산","06월 07일",1900,4750
"대구","06월 07일",2400,6000
"광주","06월 07일",2140,5350
"대전","06월 07일",2320,5800
"서울","06월 08일",2200,5500
"부산","06월 08일",1900,4750
"대구","06월 08일",2400,6000
"광주","06월 08일",2140,5350
"대전","06월 08일",2320,5800
"서울","06월 09일",2280,5700
"부산","06월 09일",2000,5000
"대구","06월 09일",2400,6000
"광주","06월 09일",2140,5350
"대전","06월 09일",2320,5800
"서울","06월 10일",2280,5700
"부산","06월 10일",2000,5000
"대구","06월 10일",2600,6500
"광주","06월 10일",2140,5350
"대전","06월 10일",2320,5800
"서울","06월 13일",2200,5500
"부산","06월 13일",2600,6500
"대구","06월 13일",2600,6500
"광주","06월 13일",2140,5350
"대전","06월 13일",2320,5800
"서울","06월 14일",2200,5500
"부산","06월 14일",2600,6500
"대구","06월 14일",2800,7000
"광주","06월 14일",2340,5850
"대전","06월 14일",2320,5800
"서울","06월 15일",2200,5500
"부산","06월 15일",2600,6500
"대구","06월 15일",2800,7000
"광주","06월 15일",2340,5850
"대전","06월 15일",2120,5300
"서울","06월 16일",2200,5500
"부산","06월 16일",2800,7000
"대구","06월 16일",2800,7000
"광주","06월 16일",2340,5850
"대전","06월 16일",2120,5300
"서울","06월 17일",2320,5800
"부산","06월 17일",2800,7000
"대구","06월 17일",2800,7000
"광주","06월 17일",2340,5850
"대전","06월 17일",2120,5300
"서울","06월 20일",2420,6050
"부산","06월 20일",2500,6250
"대구","06월 20일",2600,6500
"광주","06월 20일",2340,5850
"대전","06월 20일",2120,5300
"서울","06월 21일",2420,6050
"부산","06월 21일",2500,6250
"대구","06월 21일",2600,6500
"광주","06월 21일",2540,6350
"대전","06월 21일",2120,5300
